date,Mining and Logging,Construction,Manufacturing,Trade Transportation and Utilities,Information,Financial Activities,Professional and Business Services,Education and Health Services,Leisure and Hospitality ,Other Services,Government
2006-04-01,414,2460,3285,5672,1024,1522,3086,6428,1340,1446,1990
2006-07-01,424,2510,3280,5728,1045,1500,3147,6388,1382,1528,1970
2006-10-01,436,2542,3234,5783,1057,1518,3153,6335,1329,1508,1962
2007-01-01,450,2527,3216,5686,1056,1520,3178,6298,1324,1473,1980
2007-04-01,464,2544,3281,5593,1051,1517,3230,6284,1371,1513,1985
2007-07-01,469,2558,3269,5646,1062,1570,3344,6287,1406,1512,1990
2007-10-01,461,2537,3216,5763,1019,1591,3351,6371,1395,1517,1996
2008-01-01,452,2535,3148,5789,1024,1551,3337,6413,1382,1509,2011
2008-04-01,446,2512,3087,5785,1033,1540,3386,6503,1355,1519,2035
2008-07-01,463,2583,3068,5854,1063,1531,3323,6453,1355,1533,2033
2008-10-01,507,2564,2981,5847,1036,1496,3196,6596,1335,1584,2037
2009-01-01,489,2482,2857,5678,1035,1500,3151,6691,1324,1579,2009
2009-04-01,483,2385,2777,5499,1015,1503,3183,6668,1360,1583,1967
2009-07-01,491,2311,2813,5494,1020,1511,3191,6738,1428,1599,1977
2009-10-01,482,2311,2799,5472,1014,1477,3214,6891,1406,1579,1944
2010-01-01,472,2208,2815,5405,1011,1473,3201,6886,1388,1549,1930
2010-04-01,463,2207,2875,5447,979,1437,3219,6977,1461,1532,1925
2010-07-01,474,2234,2888,5595,1045,1466,3193,6941,1503,1594,1925
2010-10-01,489,2238,2902,5518,1030,1471,3261,7004,1427,1555,1867
2011-01-01,497,2212,2860,5485,1059,1478,3156,7088,1417,1544,1875
2011-04-01,521,2198,2868,5496,1073,1481,3172,7060,1458,1587,1844
2011-07-01,519,2237,2841,5447,1061,1492,3227,6967,1498,1639,1852
2011-10-01,527,2172,2884,5510,1083,1508,3251,6948,1499,1583,1864
2012-01-01,534,2148,2851,5447,1124,1532,3272,6953,1438,1554,1847
2012-04-01,532,2171,2921,5519,1098,1557,3302,6949,1496,1574,1803
2012-07-01,547,2175,2934,5586,1113,1545,3355,6969,1527,1607,1827
2012-10-01,518,2150,2911,5587,1146,1515,3344,7132,1523,1592,1824
2013-01-01,537,2102,2921,5518,1161,1494,3354,7099,1504,1587,1852
2013-04-01,526,2155,2868,5477,1162,1488,3447,7132,1504,1591,1864
2013-07-01,510,2188,2954,5519,1177,1504,3523,7117,1566,1642,1880
2013-10-01,511,2200,2957,5640,1198,1513,3533,7162,1555,1639,1817
2014-01-01,508,2229,2945,5553,1150,1540,3557,7183,1579,1663,1851
2014-04-01,511,2217,2997,5461,1174,1517,3582,7323,1633,1693,1806
2014-07-01,543,2242,3019,5446,1237,1547,3626,7259,1665,1781,1853
2014-10-01,537,2268,3077,5603,1250,1521,3588,7375,1594,1753,1798
2015-01-01,567,2266,3007,5578,1276,1519,3603,7455,1618,1765,1845
2015-04-01,552,2196,3016,5535,1243,1561,3645,7420,1663,1756,1831
2015-07-01,553,2223,2968,5671,1275,1602,3712,7428,1698,1812,1841
2015-10-01,546,2264,2992,5817,1261,1626,3767,7459,1638,1756,1878
2016-01-01,528,2271,3008,5739,1225,1620,3768,7500,1663,1744,1856
2016-04-01,519,2315,3034,5776,1207,1625,3790,7458,1707,1773,1898
2016-07-01,516,2290,3013,5891,1302,1614,3761,7436,1766,1809,1936
2016-10-01,528,2316,2948,5829,1321,1548,3880,7432,1768,1789,1964
2017-01-01,539,2336,2908,5696,1323,1565,3892,7539,1747,1768,1952
2017-04-01,538,2327,2915,5774,1340,1539,3903,7450,1807,1840,1968
2017-07-01,527,2367,2950,5800,1273,1577,3920,7450,1784,1907,2001
2017-10-01,561,2330,2951,5903,1242,1596,3958,7471,1727,1882,1999
2018-01-01,587,2332,2922,5830,1312,1628,3918,7502,1718,1835,2097
2018-04-01,585,2333,2887,5851,1317,1623,3993,7449,1791,1856,2057
2018-07-01,584,2341,2881,5825,1305,1736,3984,7573,1775,1796,2128
2018-10-01,600,2405,2901,5720,1290,1770,4024,7717,1739,1775,2134
2019-01-01,571,2421,2963,5648,1318,1670,4005,7859,1746,1882,2107
2019-04-01,551,2359,3033,5659,1337,1671,4083,7841,1779,1905,2111
2019-07-01,550,2335,3010,5641,1407,1706,4075,7896,1828,1835,2133
2019-10-01,545,2301,3023,5685,1494,1655,4090,8021,1751,1908,2141
2020-01-01,545,2287,2964,5593,1501,1608,4140,8024,1829,1875,2123
2020-04-01,572,2196,2885,5528,1435,1690,4042,8002,1704,1797,2236
2020-07-01,540,2129,2746,5549,1523,1731,4144,7991,1601,1774,2237
2020-10-01,582,2101,2661,5406,1534,1869,4091,7941,1502,1766,2418
2021-01-01,568,2111,2745,5331,1539,1859,4128,8014,1464,1774,2369
2021-04-01,606,2116,2707,5326,1524,1836,4056,7987,1522,1872,2387
2021-07-01,639,2194,2742,5364,1572,1833,4116,8001,1632,1782,2423
2021-10-01,587,2150,2732,5388,1596,1739,4146,8052,1643,1810,2491
2022-01-01,568,2169,2770,5337,1580,1744,4127,8102,1610,1858,2496
2022-04-01,552,2189,2768,5173,1648,1829,4204,8097,1734,1807,2515
2022-07-01,567,2146,2673,5189,1751,1808,4207,8067,1738,1817,2598
2022-10-01,545,2160,2694,5336,1682,1799,4211,8023,1761,1826,2667
2023-01-01,522,2131,2671,5384,1654,1834,4416,7943,1743,1816,2751
2023-04-01,511,2165,2536,5220,1739,1925,4454,8013,1673,1804,2778
2023-07-01,505,2158,2508,5257,1717,1912,4477,7996,1774,1921,2663
2023-10-01,552,2148,2704,5117,1659,1890,4505,8232,1648,1873,2618
2024-01-01,591,2100,2729,5013,1657,2004,4491,8319,1523,1880,2550
2024-04-01,556,2067,2738,5128,1653,1880,4400,8470,1652,1879,2553
2024-07-01,567,2088,2751,5210,1665,1811,4346,8626,1781,1840,2666
2024-10-01,563,2140,2710,5379,1666,1824,4470,8303,1854,1814,2702
2025-01-01,589,2143,2678,5339,1616,1796,4463,8407,1836,1892,2762
2025-04-01,566,2080,2689,5386,1691,1783,4421,8447,1880,1926,2865
2025-07-01,582,2054,2614,5260,1679,1763,4383,8601,1910,2001,2917
2025-10-01,567,2057,2688,5189,1743,1776,4381,8550,1834,1958,3045
