date,Continued Jobless Claims
1978-03-01,"1,148.10"
1978-04-01,"1,147.30"
1978-05-01,"1,140.60"
1978-06-01,"1,140.30"
1978-07-01,"1,134.60"
1978-08-01,"1,144.60"
1978-09-01,"1,130.20"
1978-10-01,"1,115.40"
1978-11-01,"1,094.70"
1978-12-01,"1,083.80"
1979-01-01,"1,089.10"
1979-02-01,"1,109.40"
1979-03-01,"1,106.70"
1979-04-01,"1,076.60"
1979-05-01,"1,076.60"
1979-06-01,"1,057.80"
1979-07-01,"1,053.60"
1979-08-01,"1,040.90"
1979-09-01,"1,033.50"
1979-10-01,"1,042.50"
1979-11-01,"1,033.00"
1979-12-01,"1,044.10"
1980-01-01,"1,060.80"
1980-02-01,"1,096.00"
1980-03-01,"1,125.10"
1980-04-01,"1,172.30"
1980-05-01,"1,211.10"
1980-06-01,"1,261.90"
1980-07-01,"1,324.80"
1980-08-01,"1,421.50"
1980-09-01,"1,491.60"
1980-10-01,"1,579.60"
1980-11-01,"1,689.80"
1980-12-01,"1,777.40"
1981-01-01,"1,842.30"
1981-02-01,"1,911.20"
1981-03-01,"1,984.30"
1981-04-01,"2,048.10"
1981-05-01,"2,110.70"
1981-06-01,"2,157.10"
1981-07-01,"2,203.60"
1981-08-01,"2,241.50"
1981-09-01,"2,282.60"
1981-10-01,"2,320.00"
1981-11-01,"2,354.60"
1981-12-01,"2,373.30"
1982-01-01,"2,402.80"
1982-02-01,"2,415.50"
1982-03-01,"2,425.50"
1982-04-01,"2,454.00"
1982-05-01,"2,468.40"
1982-06-01,"2,498.90"
1982-07-01,"2,528.10"
1982-08-01,"2,554.40"
1982-09-01,"2,582.70"
1982-10-01,"2,616.00"
1982-11-01,"2,642.60"
1982-12-01,"2,673.70"
1983-01-01,"2,691.00"
1983-02-01,"2,699.80"
1983-03-01,"2,723.40"
1983-04-01,"2,739.60"
1983-05-01,"2,756.50"
1983-06-01,"2,779.90"
1983-07-01,"2,782.60"
1983-08-01,"2,774.00"
1983-09-01,"2,787.80"
1983-10-01,"2,792.50"
1983-11-01,"2,801.50"
1983-12-01,"2,813.70"
1984-01-01,"2,823.70"
1984-02-01,"2,846.70"
1984-03-01,"2,857.70"
1984-04-01,"2,847.50"
1984-05-01,"2,863.90"
1984-06-01,"2,868.50"
1984-07-01,"2,884.90"
1984-08-01,"2,893.70"
1984-09-01,"2,925.00"
1984-10-01,"2,936.60"
1984-11-01,"2,949.10"
1984-12-01,"2,955.70"
1985-01-01,"2,964.90"
1985-02-01,"2,982.80"
1985-03-01,"2,977.10"
1985-04-01,"2,998.30"
1985-05-01,"3,000.70"
1985-06-01,"2,988.50"
1985-07-01,"2,995.10"
1985-08-01,"2,997.50"
1985-09-01,"3,004.80"
1985-10-01,"3,011.30"
1985-11-01,"3,012.60"
1985-12-01,"3,033.40"
1986-01-01,"3,044.50"
1986-02-01,"3,053.20"
1986-03-01,"3,086.10"
1986-04-01,"3,076.30"
1986-05-01,"3,084.40"
1986-06-01,"3,085.80"
1986-07-01,"3,090.00"
1986-08-01,"3,087.60"
1986-09-01,"3,072.00"
1986-10-01,"3,052.70"
1986-11-01,"3,045.60"
1986-12-01,"3,021.40"
1987-01-01,"3,014.90"
1987-02-01,"2,966.40"
1987-03-01,"2,924.60"
1987-04-01,"2,911.10"
1987-05-01,"2,845.70"
1987-06-01,"2,807.70"
1987-07-01,"2,764.00"
1987-08-01,"2,721.00"
1987-09-01,"2,677.60"
1987-10-01,"2,621.00"
1987-11-01,"2,565.60"
1987-12-01,"2,535.80"
1988-01-01,"2,488.60"
1988-02-01,"2,449.40"
1988-03-01,"2,405.60"
1988-04-01,"2,362.40"
1988-05-01,"2,317.20"
1988-06-01,"2,271.80"
1988-07-01,"2,214.40"
1988-08-01,"2,176.80"
1988-09-01,"2,156.40"
1988-10-01,"2,120.00"
1988-11-01,"2,069.00"
1988-12-01,"2,005.80"
1989-01-01,"1,967.30"
1989-02-01,"1,918.20"
1989-03-01,"1,876.90"
1989-04-01,"1,820.60"
1989-05-01,"1,787.80"
1989-06-01,"1,762.30"
1989-07-01,"1,743.00"
1989-08-01,"1,705.20"
1989-09-01,"1,685.00"
1989-10-01,"1,671.70"
1989-11-01,"1,648.70"
1989-12-01,"1,629.50"
1990-01-01,"1,605.90"
1990-02-01,"1,597.00"
1990-03-01,"1,584.10"
1990-04-01,"1,570.20"
1990-05-01,"1,567.50"
1990-06-01,"1,584.30"
1990-07-01,"1,607.00"
1990-08-01,"1,635.20"
1990-09-01,"1,680.50"
1990-10-01,"1,725.90"
1990-11-01,"1,773.50"
1990-12-01,"1,846.50"
1991-01-01,"1,871.10"
1991-02-01,"1,960.90"
1991-03-01,"2,079.60"
1991-04-01,"2,143.60"
1991-05-01,"2,205.90"
1991-06-01,"2,274.70"
1991-07-01,"2,341.30"
1991-08-01,"2,391.30"
1991-09-01,"2,434.90"
1991-10-01,"2,470.10"
1991-11-01,"2,504.80"
1991-12-01,"2,535.90"
1992-01-01,"2,564.40"
1992-02-01,"2,609.10"
1992-03-01,"2,636.10"
1992-04-01,"2,665.00"
1992-05-01,"2,696.70"
1992-06-01,"2,711.10"
1992-07-01,"2,733.20"
1992-08-01,"2,777.70"
1992-09-01,"2,807.70"
1992-10-01,"2,848.40"
1992-11-01,"2,888.90"
1992-12-01,"2,960.30"
1993-01-01,"2,937.50"
1993-02-01,"2,930.60"
1993-03-01,"2,923.10"
1993-04-01,"2,925.50"
1993-05-01,"2,909.40"
1993-06-01,"2,901.80"
1993-07-01,"2,878.10"
1993-08-01,"2,874.80"
1993-09-01,"2,855.90"
1993-10-01,"2,823.90"
1993-11-01,"2,794.30"
1993-12-01,"2,764.80"
1994-01-01,"2,766.00"
1994-02-01,"2,734.20"
1994-03-01,"2,712.00"
1994-04-01,"2,676.30"
1994-05-01,"2,652.60"
1994-06-01,"2,624.90"
1994-07-01,"2,593.50"
1994-08-01,"2,553.20"
1994-09-01,"2,524.50"
1994-10-01,"2,484.90"
1994-11-01,"2,453.50"
1994-12-01,"2,407.40"
1995-01-01,"2,387.30"
1995-02-01,"2,358.60"
1995-03-01,"2,341.90"
1995-04-01,"2,319.60"
1995-05-01,"2,307.10"
1995-06-01,"2,294.00"
1995-07-01,"2,283.50"
1995-08-01,"2,260.70"
1995-09-01,"2,233.90"
1995-10-01,"2,238.70"
1995-11-01,"2,228.80"
1995-12-01,"2,221.80"
1996-01-01,"2,198.40"
1996-02-01,"2,205.20"
1996-03-01,"2,179.10"
1996-04-01,"2,171.10"
1996-05-01,"2,153.00"
1996-06-01,"2,134.50"
1996-07-01,"2,103.40"
1996-08-01,"2,083.00"
1996-09-01,"2,043.80"
1996-10-01,"2,002.40"
1996-11-01,"1,903.90"
1996-12-01,"1,872.10"
1997-01-01,"1,818.40"
1997-02-01,"1,752.80"
1997-03-01,"1,704.30"
1997-04-01,"1,662.60"
1997-05-01,"1,619.60"
1997-06-01,"1,571.50"
1997-07-01,"1,554.10"
1997-08-01,"1,526.50"
1997-09-01,"1,497.80"
1997-10-01,"1,464.10"
1997-11-01,"1,431.70"
1997-12-01,"1,410.50"
1998-01-01,"1,400.50"
1998-02-01,"1,380.70"
1998-03-01,"1,364.90"
1998-04-01,"1,359.40"
1998-05-01,"1,350.00"
1998-06-01,"1,344.20"
1998-07-01,"1,344.00"
1998-08-01,"1,340.70"
1998-09-01,"1,327.20"
1998-10-01,"1,321.90"
1998-11-01,"1,325.30"
1998-12-01,"1,314.30"
1999-01-01,"1,309.70"
1999-02-01,"1,304.50"
1999-03-01,"1,297.50"
1999-04-01,"1,288.10"
1999-05-01,"1,273.10"
1999-06-01,"1,263.10"
1999-07-01,"1,244.70"
1999-08-01,"1,229.00"
1999-09-01,"1,222.90"
1999-10-01,"1,200.70"
1999-11-01,"1,184.10"
1999-12-01,"1,159.30"
2000-01-01,"1,162.90"
2000-02-01,"1,152.20"
2000-03-01,"1,144.00"
2000-04-01,"1,113.30"
2000-05-01,"1,104.70"
2000-06-01,"1,093.60"
2000-07-01,"1,074.70"
2000-08-01,"1,060.40"
2000-09-01,"1,044.80"
2000-10-01,"1,044.70"
2000-11-01,"1,035.60"
2000-12-01,"1,029.90"
2001-01-01,"1,008.60"
2001-02-01,999.5
2001-03-01,990.9
2001-04-01,975.5
2001-05-01,974.9
2001-06-01,961.6
2001-07-01,951.8
2001-08-01,951.2
2001-09-01,946.1
2001-10-01,953
2001-11-01,959.7
2001-12-01,966.5
2002-01-01,958.2
2002-02-01,951.9
2002-03-01,947.5
2002-04-01,954.9
2002-05-01,947.1
2002-06-01,949.7
2002-07-01,950
2002-08-01,945.7
2002-09-01,943.7
2002-10-01,939.5
2002-11-01,936.4
2002-12-01,935.2
2003-01-01,939.3
2003-02-01,942.5
2003-03-01,941.2
2003-04-01,936.1
