date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2021-01-19,Russell 2000,76147,133297,2703,-6373,12,21.1
2021-01-26,Russell 2000,71009,95896,-5138,-37401,13.5,18.3
2021-02-02,Russell 2000,71919,109926,910,14030,13.5,20.7
2021-02-09,Russell 2000,74690,115943,2771,6017,14.2,22
2021-02-16,Russell 2000,74761,129920,71,13977,13.5,23.5
2021-02-23,Russell 2000,77958,137276,3197,7356,14,24.7
2021-03-02,Russell 2000,77601,140198,-357,2922,13.9,25.2
2021-03-09,Russell 2000,79681,149201,2080,9003,14.3,26.8
2021-03-16,Russell 2000,80276,168961,595,19760,14.1,29.7
2021-03-23,Russell 2000,74117,174941,-6159,5980,13,30.7
2021-03-30,Russell 2000,78412,179217,4295,4276,13.7,31.3
2021-04-06,Russell 2000,68932,176651,-9480,-2566,12.2,31.2
2021-04-13,Russell 2000,71488,164850,2556,-11801,13,30
2021-04-20,Russell 2000,66152,167071,-5336,2221,10.8,27.2
2021-04-27,Russell 2000,56986,101160,-9166,-65911,11.6,20.6
2021-05-04,Russell 2000,56306,87809,-680,-13351,11.9,18.6
2021-05-11,Russell 2000,54771,90865,-1535,3056,11.6,19.2
2021-05-18,Russell 2000,55317,92769,546,1904,12,20.1
2021-05-25,Russell 2000,49204,93954,-6113,1185,10.7,20.4
2021-06-01,Russell 2000,35395,92061,-13809,-1893,8,20.8
2021-06-08,Russell 2000,36070,96174,675,4113,8,21.4
2021-06-15,Russell 2000,37384,99043,1314,2869,8.3,21.9
2021-06-22,Russell 2000,40357,89476,2973,-9567,8.8,19.5
2021-06-29,Russell 2000,39784,87455,-573,-2021,8.8,19.4
2021-07-06,Russell 2000,41749,95108,1965,7653,9.1,20.8
2021-07-13,Russell 2000,39782,97663,-1967,2555,8.6,21.1
2021-07-20,Russell 2000,38914,94515,-868,-3148,7.8,19.1
2021-07-27,Russell 2000,39601,85685,687,-8830,9.5,20.7
2021-08-03,Russell 2000,36537,89766,-3064,4081,8.7,21.3
2021-08-10,Russell 2000,37924,89531,1387,-235,9,21.3
2021-08-17,Russell 2000,38950,88463,1026,-1068,9.2,21
2021-08-24,Russell 2000,56347,106039,17397,17576,12.5,23.4
2021-08-31,Russell 2000,49054,119377,-7293,13338,10.7,26.1
2021-09-07,Russell 2000,45592,120102,-3462,725,10.1,26.5
2021-09-14,Russell 2000,47712,122358,2120,2256,10.5,26.8
2021-09-21,Russell 2000,53654,128192,5942,5834,11.8,28.2
2021-09-28,Russell 2000,47700,133570,-5954,5378,10.6,29.6
2021-10-05,Russell 2000,47205,130443,-495,-3127,10.4,28.7
2021-10-12,Russell 2000,41288,130192,-5917,-251,9.1,28.7
2021-10-19,Russell 2000,47764,127244,6476,-2948,9.9,26.2
2021-10-26,Russell 2000,41741,114307,-6023,-12937,9.7,26.5
2021-11-02,Russell 2000,42927,113534,1186,-773,9.9,26.2
2021-11-09,Russell 2000,45897,119115,2970,5581,10.3,26.7
2021-11-16,Russell 2000,47734,116089,1837,-3026,10.6,25.7
2021-11-23,Russell 2000,50969,120232,3235,4143,11.1,26.3
2021-11-30,Russell 2000,55144,118616,4175,-1616,12,25.8
2021-12-07,Russell 2000,56738,113360,1594,-5256,12.5,24.9
2021-12-14,Russell 2000,57751,103241,1013,-10119,12.4,22.1
2021-12-21,Russell 2000,56499,100597,-1252,-2644,12,21.3
2021-12-28,Russell 2000,51546,93899,-4953,-6698,10.9,19.8
2022-01-04,Russell 2000,55165,93495,3619,-404,11.9,20.1
2022-01-11,Russell 2000,47489,81723,-7676,-11772,10.3,17.7
2022-01-18,Russell 2000,56375,102078,8886,20355,10.6,19.2
2022-01-25,Russell 2000,65129,92890,8754,-9188,14.2,20.2
2022-02-01,Russell 2000,63414,92065,-1715,-825,13.7,19.9
2022-02-08,Russell 2000,84279,125769,452,18165,16.9,25.3
2022-02-15,Russell 2000,61765,116042,-22514,-9727,12.5,23.4
2022-02-22,Russell 2000,73149,119343,11384,3301,14.4,23.4
2022-03-01,Russell 2000,68248,115670,-4901,-3673,13.4,22.7
2022-03-08,Russell 2000,73678,112352,5430,-3318,14,21.4
2022-03-15,Russell 2000,74858,122661,1180,10309,12.8,21.1
2022-03-22,Russell 2000,41961,132573,-32897,9912,8.7,27.4
2022-03-29,Russell 2000,33519,132903,-8442,330,7.1,28.2
2022-04-05,Russell 2000,36004,131326,2485,-1577,7.6,27.9
2022-04-12,Russell 2000,37294,116597,1290,-14729,7.9,24.8
2022-04-19,Russell 2000,29711,116270,-7583,-327,6.4,25.1
2022-04-26,Russell 2000,41902,115038,12191,-1232,8.6,23.7
2022-05-03,Russell 2000,46167,114449,4265,-589,9.3,23.1
2022-05-10,Russell 2000,59608,116888,13441,2439,11.4,22.3
2022-05-17,Russell 2000,55494,121069,-4114,4181,10.5,23
2022-05-24,Russell 2000,50969,122968,-4525,1899,9.5,22.9
2022-05-31,Russell 2000,40112,132781,-10857,9813,7.4,24.6
2022-06-07,Russell 2000,36804,135337,-3308,2556,6.7,24.5
2022-06-14,Russell 2000,55266,141342,18462,6005,8.7,22.2
2022-06-21,Russell 2000,76002,137865,20736,-3477,13.3,24.2
2022-06-28,Russell 2000,79212,146809,3210,8944,13.9,25.7
2022-07-05,Russell 2000,75056,160301,-4156,13492,12.8,27.3
2022-07-12,Russell 2000,79915,156222,4859,-4079,13.6,26.6
2022-07-19,Russell 2000,82959,148327,3044,-7895,14.3,25.5
2022-07-26,Russell 2000,76720,141902,-6239,-6425,13.4,24.9
2022-08-02,Russell 2000,60319,141200,-16401,-702,10.8,25.4
2022-08-09,Russell 2000,58622,143590,-1697,2390,10.8,26.4
2022-08-16,Russell 2000,54372,159376,-4250,15786,10.3,30.2
2022-08-23,Russell 2000,59515,143507,5143,-15869,11.5,27.6
2022-08-30,Russell 2000,69250,139621,9735,-3886,13.2,26.6
2022-09-06,Russell 2000,72740,146532,3490,6911,13.4,27
2022-09-13,Russell 2000,64764,146674,-7976,142,11.1,25.1
2022-09-20,Russell 2000,74767,155868,10003,9194,14.1,29.4
2022-09-27,Russell 2000,89389,158160,14622,2292,16.3,28.8
2022-10-04,Russell 2000,93260,151142,3871,-7018,16.7,27.1
2022-10-11,Russell 2000,103876,153186,10616,2044,18.4,27.2
2022-10-18,Russell 2000,95985,140494,-7891,-12692,17.9,26.2
2022-10-25,Russell 2000,99027,135906,3042,-4588,18.9,26
2022-11-01,Russell 2000,103758,129552,4731,-6354,20.8,25.9
2022-11-08,Russell 2000,105208,137769,1450,8217,21.3,27.9
2022-11-15,Russell 2000,83868,143915,-21340,6146,18,30.9
2022-11-22,Russell 2000,79684,137367,-4184,-6548,16.8,28.9
2022-11-29,Russell 2000,82595,131569,2911,-5798,17.4,27.8
2022-12-06,Russell 2000,82902,135367,307,3798,17.2,28.1
2022-12-13,Russell 2000,87151,129773,4249,-5594,16.8,25
2022-12-20,Russell 2000,84700,124658,-2451,-5115,19.3,28.4
2022-12-27,Russell 2000,79046,125951,-5654,1293,18.2,29
2023-01-03,Russell 2000,80457,123110,1411,-2841,18.5,28.4
2023-01-10,Russell 2000,78255,120529,-2202,-2581,18.1,27.9
2023-01-17,Russell 2000,77882,127865,-373,7336,18.2,29.8
2023-01-24,Russell 2000,72325,124043,-5557,-3822,17.1,29.3
2023-01-31,Russell 2000,74491,131912,2166,7869,17.3,30.6
2023-02-07,Russell 2000,70467,134369,-4024,2457,16.1,30.7
2023-02-14,Russell 2000,69689,130615,-778,-3754,16,30.1
2023-02-21,Russell 2000,70058,122158,369,-8457,16.1,28.1
2023-02-28,Russell 2000,76100,120310,6042,-1848,17.3,27.3
2023-03-07,Russell 2000,71945,122377,-4155,2067,16.3,27.8
2023-03-14,Russell 2000,67080,116595,-4865,-5782,11.5,20
2023-03-21,Russell 2000,73588,114754,6508,-1841,15.3,23.9
2023-03-28,Russell 2000,83460,108666,9872,-6088,17.4,22.7
2023-04-04,Russell 2000,82040,121051,-1420,12385,16.7,24.7
2023-04-11,Russell 2000,90985,123071,8945,2020,18.5,25.1
2023-04-18,Russell 2000,93556,124322,2571,1251,18.6,24.7
2023-04-25,Russell 2000,101723,131204,8167,6882,19.8,25.5
2023-05-02,Russell 2000,117861,142936,16138,11732,21.8,26.4
2023-05-09,Russell 2000,117755,148381,-106,5445,21.8,27.5
2023-05-16,Russell 2000,119527,142752,1772,-5629,21.9,26.1
2023-05-23,Russell 2000,99385,119286,-20142,-23466,19.3,23.1
2023-05-30,Russell 2000,105706,121528,6321,2242,20.2,23.2
2023-06-06,Russell 2000,102619,112915,-3087,-8613,19.5,21.5
2023-06-13,Russell 2000,104338,119923,1719,7008,16,18.3
2023-06-20,Russell 2000,99723,113287,-4615,-6636,18.8,21.3
2023-06-27,Russell 2000,102576,110677,2853,-2610,19.7,21.3
2023-07-04,Russell 2000,103818,107438,1242,-3239,20.2,20.9
2023-07-11,Russell 2000,104983,110721,1165,3283,20.1,21.2
2023-07-18,Russell 2000,99323,109529,-5660,-1192,18.9,20.8
2023-07-25,Russell 2000,97831,107210,-1492,-2319,18.6,20.4
2023-08-01,Russell 2000,92936,109481,-4895,2271,18,21.2
2023-08-08,Russell 2000,90787,109353,-2149,-128,17.7,21.3
