date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2024-10-15,US 2Y NOTE,376429,2872535,-48458,44099,8.4,64.4
2024-10-22,US 2Y NOTE,412390,2964769,35961,92234,9.1,65.2
2024-10-29,US 2Y NOTE,371575,2994785,-40815,30016,8.2,66.2
2024-11-05,US 2Y NOTE,301105,2932249,-70470,-62536,6.8,66.6
2024-11-12,US 2Y NOTE,355136,3047509,54031,115260,7.7,65.9
2024-11-19,US 2Y NOTE,341226,2935258,-13910,-112251,7.4,63.5
2024-11-26,US 2Y NOTE,333351,2742039,-7875,-193219,7.7,63.1
2024-12-03,US 2Y NOTE,318454,2705507,-14897,-36532,7.4,63.1
2024-12-10,US 2Y NOTE,287727,2760890,-30727,55383,6.7,64.5
2024-12-17,US 2Y NOTE,299253,2714570,11526,-46320,7.1,64.4
2024-12-24,US 2Y NOTE,321908,2728107,22655,13537,7.6,64.2
2024-12-31,US 2Y NOTE,384572,2692676,62664,-35431,9,62.8
2025-01-07,US 2Y NOTE,385573,2613245,1001,-79431,9,61.1
2025-01-14,US 2Y NOTE,413574,2659516,28001,46271,9.6,61.8
2025-01-21,US 2Y NOTE,394931,2515720,-18643,-143796,9.5,60.5
2025-01-28,US 2Y NOTE,430488,2562384,35557,46664,10.2,60.7
2025-02-04,US 2Y NOTE,430361,2551038,-127,-11346,10.5,62.1
2025-02-11,US 2Y NOTE,394037,2479748,-36324,-71290,9.5,59.7
2025-02-18,US 2Y NOTE,408866,2411033,14829,-68715,9.8,57.9
2025-02-25,US 2Y NOTE,418047,2307426,9181,-103607,9.9,54.5
2025-03-04,US 2Y NOTE,384238,2186847,-33809,-120579,10,57
2025-03-11,US 2Y NOTE,330414,2225611,-53824,38764,8.4,56.8
2025-03-18,US 2Y NOTE,323533,2183492,-6881,-42119,8.5,57.3
2025-03-25,US 2Y NOTE,371536,2116862,48003,-66630,9.6,54.5
2025-04-01,US 2Y NOTE,408651,2197743,37115,80881,10.4,56.1
2025-04-08,US 2Y NOTE,496978,2163365,88327,-34378,12.4,53.8
2025-04-15,US 2Y NOTE,391445,2277282,-105533,113917,9.8,57
2025-04-22,US 2Y NOTE,403063,2343767,11618,66485,9.9,57.3
2025-04-29,US 2Y NOTE,408652,2295808,5589,-47959,10,56.1
2025-05-06,US 2Y NOTE,345737,2207620,-62915,-88188,8.4,53.7
2025-05-13,US 2Y NOTE,363609,2214922,17872,7302,8.8,53.4
2025-05-20,US 2Y NOTE,447234,2263787,83625,48865,10.5,53.3
2025-05-27,US 2Y NOTE,437465,2185314,-9769,-78473,10.9,54.4
2025-06-03,US 2Y NOTE,439027,2186144,1562,830,11.5,57.1
2025-06-10,US 2Y NOTE,438893,2299354,-134,113210,11.1,58
2025-06-17,US 2Y NOTE,462383,2302464,23490,3110,11.5,57.1
2025-06-24,US 2Y NOTE,510506,2477550,48123,175086,12.3,59.5
2025-07-01,US 2Y NOTE,520175,2534392,9669,56842,12.1,58.8
2025-07-08,US 2Y NOTE,531949,2497813,11774,-36579,12.2,57.3
2025-07-15,US 2Y NOTE,465205,2489875,-66744,-7938,10.7,57.1
2025-07-22,US 2Y NOTE,484279,2463947,19074,-25928,11.1,56.2
2025-07-29,US 2Y NOTE,499427,2477936,15148,13989,11.3,56
2025-08-05,US 2Y NOTE,469008,2584007,-30419,106071,10.2,56.4
2025-08-12,US 2Y NOTE,393386,2554024,-75622,-29983,8.6,56.1
2025-08-19,US 2Y NOTE,373860,2459154,-19526,-94870,8.3,54.3
2025-08-26,US 2Y NOTE,396023,2406323,22163,-52831,8.8,53.4
2025-09-02,US 2Y NOTE,408375,2460417,12352,54094,9.3,55.8
2025-09-09,US 2Y NOTE,424833,2591189,16458,130772,9.4,57.1
2025-09-16,US 2Y NOTE,432113,2625627,7280,34438,9.5,57.8
2025-09-23,US 2Y NOTE,501087,2584537,68974,-41090,10.9,56.3
2025-09-30,US 2Y NOTE,526509,2525104,25422,-59433,11.4,54.8
2025-10-07,US 2Y NOTE,513983,2587271,-12526,62167,11.2,56.3
2025-10-14,US 2Y NOTE,541320,2610948,27337,23677,11.9,57.3
2025-10-21,US 2Y NOTE,464525,2567105,-76795,-43843,10.2,56.6
2025-10-28,US 2Y NOTE,496622,2583968,32097,16863,10.9,56.8
2025-11-04,US 2Y NOTE,498987,2606558,2365,22590,10.8,56.4
2025-11-10,US 2Y NOTE,532633,2610223,33646,3665,11.4,56.1
2025-11-18,US 2Y NOTE,468608,2546373,-64025,-63850,10.2,55.2
2025-11-25,US 2Y NOTE,507990,2515535,39382,-30838,11.1,55.2
2025-12-02,US 2Y NOTE,531017,2593433,23027,77898,12,58.6
2025-12-09,US 2Y NOTE,500332,2629466,-30685,36033,11.3,59.6
2025-12-16,US 2Y NOTE,487915,2711990,-12417,82524,10.9,60.8
2025-12-23,US 2Y NOTE,524378,2731307,36463,19317,11.7,60.7
2025-12-30,US 2Y NOTE,552596,2772331,28218,41024,12.2,61.2
2026-01-06,US 2Y NOTE,520066,2767342,-32530,-4989,11.4,60.6
2026-01-13,US 2Y NOTE,368092,2606185,-151974,-161157,8.2,58.3
2026-01-20,US 2Y NOTE,464040,2648498,95948,42313,10.1,57.8
2026-01-27,US 2Y NOTE,525079,2637138,61039,-11360,11.4,57.2
2026-02-03,US 2Y NOTE,518486,2633663,-6593,-3475,11.2,56.7
2026-02-10,US 2Y NOTE,527213,2650441,8727,16778,11.2,56.5
2026-02-17,US 2Y NOTE,500210,2634735,-27003,-15706,10.6,55.9
2026-02-24,US 2Y NOTE,450521,2517967,-49689,-116768,9.7,54.2
2026-03-03,US 2Y NOTE,453427,2502239,2906,-15728,10.1,55.7
2026-03-10,US 2Y NOTE,456176,2383781,2749,-118458,9.9,51.5
2026-03-17,US 2Y NOTE,411693,2498169,-44483,114388,8.7,52.7
2026-03-24,US 2Y NOTE,433720,2732980,22027,234811,9.1,57.3
2026-03-31,US 2Y NOTE,481866,2650618,48146,-82362,10.2,56.1
2026-04-07,US 2Y NOTE,470389,2618218,-11477,-32400,10,55.6
2026-04-14,US 2Y NOTE,396501,2475701,-73888,-142517,8.4,52.7
2025-07-01,US 2Y NOTE,520175,2534392,9669,56842,12.1,58.8
2025-07-08,US 2Y NOTE,531949,2497813,11774,-36579,12.2,57.3
2025-07-15,US 2Y NOTE,465205,2489875,-66744,-7938,10.7,57.1
2025-07-22,US 2Y NOTE,484279,2463947,19074,-25928,11.1,56.2
2025-07-29,US 2Y NOTE,499427,2477936,15148,13989,11.3,56
2025-08-05,US 2Y NOTE,469008,2584007,-30419,106071,10.2,56.4
2025-08-12,US 2Y NOTE,393386,2554024,-75622,-29983,8.6,56.1
2025-08-19,US 2Y NOTE,373860,2459154,-19526,-94870,8.3,54.3
2025-08-26,US 2Y NOTE,396023,2406323,22163,-52831,8.8,53.4
2025-09-02,US 2Y NOTE,408375,2460417,12352,54094,9.3,55.8
2025-09-09,US 2Y NOTE,424833,2591189,16458,130772,9.4,57.1
2025-09-16,US 2Y NOTE,432113,2625627,7280,34438,9.5,57.8
2025-09-23,US 2Y NOTE,501087,2584537,68974,-41090,10.9,56.3
2025-09-30,US 2Y NOTE,526509,2525104,25422,-59433,11.4,54.8
2025-10-07,US 2Y NOTE,513983,2587271,-12526,62167,11.2,56.3
2025-10-14,US 2Y NOTE,541320,2610948,27337,23677,11.9,57.3
2025-10-21,US 2Y NOTE,464525,2567105,-76795,-43843,10.2,56.6
2025-10-28,US 2Y NOTE,496622,2583968,32097,16863,10.9,56.8
2025-11-04,US 2Y NOTE,498987,2606558,2365,22590,10.8,56.4
2025-11-11,US 2Y NOTE,532633,2610223,33646,3665,11.4,56.1
2025-11-18,US 2Y NOTE,468608,2546373,-64025,-63850,10.2,55.2
2025-11-25,US 2Y NOTE,507990,2515535,39382,-30838,11.1,55.2
2025-12-02,US 2Y NOTE,531017,2593433,23027,77898,12,58.6
2025-12-09,US 2Y NOTE,500332,2629466,-30685,36033,11.3,59.6
2025-12-16,US 2Y NOTE,487915,2711990,-12417,82524,10.9,60.8
2025-12-23,US 2Y NOTE,524378,2731307,36463,19317,11.7,60.7
2025-12-30,US 2Y NOTE,552596,2772331,28218,41024,12.2,61.2
2026-01-06,US 2Y NOTE,520066,2767342,-32530,-4989,11.4,60.6
2026-01-13,US 2Y NOTE,368092,2606185,-151974,-161157,8.2,58.3
2026-01-20,US 2Y NOTE,464040,2648498,95948,42313,10.1,57.8
2026-01-27,US 2Y NOTE,525079,2637138,61039,-11360,11.4,57.2
2026-02-03,US 2Y NOTE,518486,2633663,-6593,-3475,11.2,56.7
2026-02-10,US 2Y NOTE,527213,2650441,8727,16778,11.2,56.5
2026-02-17,US 2Y NOTE,500210,2634735,-27003,-15706,10.6,55.9
2026-02-24,US 2Y NOTE,450521,2517967,-49689,-116768,9.7,54.2
2026-03-03,US 2Y NOTE,453427,2502239,2906,-15728,10.1,55.7
2026-03-10,US 2Y NOTE,456176,2383781,2749,-118458,9.9,51.5
2026-03-17,US 2Y NOTE,411693,2498169,-44483,114388,8.7,52.7
2026-03-24,US 2Y NOTE,433720,2732980,22027,234811,9.1,57.3
2026-03-31,US 2Y NOTE,481866,2650618,48146,-82362,10.2,56.1
2026-04-07,US 2Y NOTE,470389,2618218,-11477,-32400,10,55.6
2026-04-14,US 2Y NOTE,396501,2475701,-73888,-142517,8.4,52.7
2026-04-21,US 2Y NOTE,414539,2520512,18038,44811,8.8,53.7
2026-04-28,US 2Y NOTE,409828,2527836,-4711,7324,8.7,53.4
2026-05-05,US 2Y NOTE,414177,2448652,4349,-79184,8.7,51.6
2026-05-12,US 2Y NOTE,407820,2355649,-6357,-93003,8.5,49.1
2026-05-19,US 2Y NOTE,417004,2295636,9184,-60013,8.4,46.5
2026-05-26,US 2Y NOTE,365442,2137999,-51562,-157637,7.4,43.1
2026-06-02,US 2Y NOTE,362038,2175049,-3404,37050,8.4,50.2
