date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2022-03-29,S&P 500,25605,82087,3235,5658,6,19.4
2022-04-05,S&P 500,27223,76975,1618,-5111,6.4,18.1
2022-04-12,S&P 500,36925,57077,9702,-19898,8.6,13.2
2022-04-19,S&P 500,38182,61478,1257,4401,8.8,14.2
2022-04-26,S&P 500,49870,51214,11688,-10265,11.4,11.7
2022-05-03,S&P 500,52227,68928,2358,17714,11.8,15.6
2022-05-10,S&P 500,58274,60004,6046,-8924,12.9,13.3
2022-05-17,S&P 500,49660,69164,-8614,9160,11,15.4
2022-05-24,S&P 500,46268,75542,-3392,6378,10.2,16.7
2022-05-31,S&P 500,38684,79368,-7584,3827,8.6,17.6
2022-06-07,S&P 500,37906,84174,-778,4806,8.4,18.6
2022-06-14,S&P 500,49574,84757,11668,583,9.3,16
2022-06-21,S&P 500,34503,75470,-15071,-9287,7.6,16.7
2022-06-28,S&P 500,29026,82139,-5477,6669,6.5,18.3
2022-07-05,S&P 500,28243,91838,-784,9699,6.1,19.9
2022-07-12,S&P 500,25456,99359,-2787,7521,5.5,21.4
2022-07-19,S&P 500,27334,112448,1878,13088,5.9,24.1
2022-07-26,S&P 500,23625,114494,-3709,2046,5.1,24.6
2022-08-02,S&P 500,25580,126771,1954,12277,5.5,27.4
2022-08-09,S&P 500,25508,126228,-71,-543,5.5,27.4
2022-08-16,S&P 500,25122,144856,-387,18627,5.4,30.9
2022-08-23,S&P 500,27280,130019,2158,-14836,5.9,27.9
2022-08-30,S&P 500,26909,125070,-371,-4949,5.8,26.8
2022-09-06,S&P 500,26429,116943,-480,-8127,5.7,25.3
2022-09-13,S&P 500,23497,128568,-2932,11625,4.5,24.7
2022-09-20,S&P 500,22616,91945,-882,-36623,5.3,21.5
2022-09-27,S&P 500,32735,90102,10119,-1843,7.3,20.2
2022-10-04,S&P 500,27516,95610,-5219,5508,6.1,21.1
2022-10-11,S&P 500,30115,99512,2599,3902,6.6,21.8
2022-10-18,S&P 500,30843,113499,728,13987,6.6,24.3
2022-10-25,S&P 500,30621,119789,-221,6290,6.5,25.4
2022-11-01,S&P 500,32075,111253,1453,-8535,6.9,23.8
2022-11-08,S&P 500,33178,111598,1103,345,7.2,24.1
2022-11-15,S&P 500,30575,124829,-2603,13231,6.5,26.6
