date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-09-08,Gold,155528,51236,8353,1803,27.9,9.2
2020-09-15,Gold,166571,55473,11043,4237,28.8,9.6
2020-09-22,Gold,144670,63222,-21901,7749,25.1,11
2020-09-29,Gold,140320,45948,-4350,-17274,25,8.2
2020-10-06,Gold,139350,44738,-970,-1210,25.1,8.1
2020-10-13,Gold,138169,56388,-1181,11650,25,10.2
2020-10-20,Gold,149108,58543,10939,2155,26.5,10.4
2020-10-27,Gold,149140,47265,32,-11278,26.6,8.4
2020-11-03,Gold,140094,49399,-9046,2134,25.7,9.1
2020-11-10,Gold,130105,50322,-9989,923,23.8,9.2
2020-11-17,Gold,139550,49103,9445,-1219,25,8.8
2020-11-24,Gold,137503,52155,-2047,3052,24.8,9.4
2020-12-01,Gold,134446,48903,-3057,-3252,25,9.1
2020-12-08,Gold,147844,49033,13398,130,26.9,8.9
2020-12-15,Gold,151901,50022,4057,989,27.6,9.1
2020-12-21,Gold,158194,50070,6293,48,28.2,8.9
2020-12-29,Gold,159673,50678,1479,608,28.7,9.1
2021-01-05,Gold,167096,50527,7423,-151,29.4,8.9
2021-01-12,Gold,131057,52823,-36039,2296,23.6,9.5
2021-01-19,Gold,127161,49090,-3896,-3733,23.5,9.1
2021-01-26,Gold,142815,46416,15654,-2674,26.7,8.7
2021-02-02,Gold,137062,49284,-5753,2868,26.4,9.5
2021-02-09,Gold,134733,47093,-2329,-2191,26.6,9.3
2021-02-16,Gold,125997,58041,-8736,10948,25,11.5
2021-02-23,Gold,125124,56001,-873,-2040,26,11.6
2021-03-02,Gold,106608,60648,-18516,4647,22.8,13
2021-03-09,Gold,96223,66793,-10385,6145,20.3,14.1
2021-03-16,Gold,100669,59548,4446,-7245,21.1,12.5
2021-03-23,Gold,107941,64420,7272,4872,22.2,13.3
2021-03-30,Gold,113009,69936,5068,5516,24.2,15
2021-04-06,Gold,121563,55091,8554,-14845,26.2,11.9
2021-04-13,Gold,112070,58263,-9493,3172,24.3,12.6
2021-04-20,Gold,116843,60419,4773,2156,24.8,12.8
2021-04-27,Gold,117144,66493,301,6074,24.8,14
2021-05-04,Gold,117434,63809,290,-2684,25,13.6
2021-05-11,Gold,131295,49680,13861,-14129,26.3,10
2021-05-18,Gold,141776,49786,10481,106,27.2,9.6
2021-05-25,Gold,143862,36607,2086,-13179,28.2,7.2
2021-06-01,Gold,147270,37297,3408,690,30.1,7.6
2021-06-08,Gold,145037,37373,-2233,76,29.5,7.6
2021-06-15,Gold,138546,41754,-6491,4381,28.9,8.7
