date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2021-11-09,Silver,50950,23702,559,-2720,35.3,16.4
2021-11-16,Silver,59631,24341,8681,639,39.1,16
2021-11-23,Silver,54714,24901,-4917,560,36.6,16.6
2021-11-30,Silver,48877,21353,-5837,-3548,35.4,15.5
2021-12-07,Silver,47419,29754,-1458,8401,34.7,21.8
2021-12-14,Silver,47486,38281,67,8527,33.4,26.9
2021-12-21,Silver,48399,37741,913,-540,34.3,26.7
2021-12-28,Silver,50454,33008,2055,-4733,35.7,23.4
2022-01-04,Silver,51595,29818,1141,-3190,37,21.4
2022-01-11,Silver,50316,32514,-1279,2696,34.8,22.5
2022-01-18,Silver,53143,29427,2827,-3087,35.7,19.8
2022-01-25,Silver,51622,24203,-1521,-5224,34,15.9
2022-02-01,Silver,46101,34142,-5521,9939,30.9,22.9
2022-02-08,Silver,43252,33091,-2849,-1051,29.3,22.5
2022-02-15,Silver,44274,26809,1022,-6282,28.2,17.1
2022-02-22,Silver,46736,21087,2462,-5722,28.5,12.9
2022-03-01,Silver,59592,17297,12856,-3790,37.9,11
2022-03-08,Silver,64367,15687,4775,-1610,38.2,9.3
2022-03-15,Silver,62249,14206,-2118,-1481,39,8.9
2022-03-22,Silver,57604,13776,-4645,-430,37.1,8.9
2022-03-29,Silver,54378,12247,-3226,-1529,36.9,8.3
2022-04-05,Silver,52412,13447,-1966,1200,35.3,9.1
2022-04-12,Silver,54935,12855,2523,-592,34.6,8.1
2022-04-19,Silver,57303,16585,2368,3730,33.6,9.7
2022-04-26,Silver,44689,18291,-12614,1706,30.7,12.6
2022-05-03,Silver,40692,25502,-3997,7211,29.6,18.5
2022-05-10,Silver,39862,38016,-830,12514,27.9,26.6
2022-05-17,Silver,40809,40482,947,2466,28.2,28
2022-05-24,Silver,41545,42404,736,1922,28.4,29
2022-05-31,Silver,40984,37933,-561,-4471,27.8,25.8
2022-06-07,Silver,40650,33818,-334,-4115,27.4,22.8
2022-06-14,Silver,40712,39103,62,5285,26.8,25.7
2022-06-21,Silver,39405,32175,-1307,-6928,27.1,22.1
2022-06-28,Silver,39039,38294,-366,6119,28.8,28.2
2022-07-05,Silver,37322,46067,-1717,7773,26.6,32.8
2022-07-12,Silver,37095,47543,-227,1476,26.1,33.4
2022-07-19,Silver,36411,50452,-684,2909,25.1,34.7
2022-07-26,Silver,36721,54539,310,4087,24.8,36.9
2022-08-02,Silver,33027,41883,-3694,-12656,24.2,30.7
2022-08-09,Silver,32469,39012,-558,-2871,23,27.6
2022-08-16,Silver,31781,37872,-688,-1140,22,26.2
2022-08-23,Silver,31703,47527,-78,9655,22,32.9
2022-08-30,Silver,31139,52170,-564,4643,22.4,37.6
2022-09-06,Silver,33857,58600,2718,6430,24.5,42.4
2022-09-13,Silver,38352,46637,4495,-11963,28.3,34.4
2022-09-20,Silver,36594,44615,-1758,-2022,27.7,33.8
2022-09-27,Silver,34429,42522,-2165,-2093,26.7,33
2022-10-04,Silver,37885,32248,3456,-10274,29.2,24.9
2022-10-11,Silver,33493,33378,-4392,1130,26.7,26.6
2022-10-18,Silver,36365,44077,2872,10699,26.7,32.4
2022-10-25,Silver,35428,43146,-937,-931,25.5,31
2022-11-01,Silver,36025,41460,597,-1686,25.9,29.9
2022-11-08,Silver,38876,29484,2851,-11976,27.7,21
2022-11-15,Silver,38106,24997,-770,-4487,26.9,17.7
2022-11-22,Silver,37624,25925,-482,928,29.2,20.1
2022-11-29,Silver,36960,23367,-664,-2558,30.5,19.3
2022-12-06,Silver,37392,24054,432,687,30.5,19.6
2022-12-13,Silver,40880,21182,3488,-2872,32.6,16.9
2022-12-20,Silver,45659,17728,4779,-3454,35.3,13.7
2022-12-27,Silver,45022,16206,-637,-1522,35,12.6
2023-01-03,Silver,46929,19152,1907,2946,35.6,14.5
2023-01-10,Silver,44900,21666,-2029,2514,34.5,16.7
2023-01-17,Silver,46115,19647,1215,-2019,35,14.9
2023-01-24,Silver,43507,23686,-2608,4039,32.2,17.6
2023-01-31,Silver,44661,20874,1154,-2812,32.3,15.1
2023-02-07,Silver,35026,29209,-9635,8335,26.2,21.9
2023-02-14,Silver,33963,28645,-1063,-564,25.7,21.7
2023-02-21,Silver,32856,27773,-1107,-872,26.5,22.4
2023-02-28,Silver,30354,37642,-2502,9869,24.5,30.4
2023-03-07,Silver,27811,45213,-2543,7571,21.8,35.5
2023-03-14,Silver,30952,35651,3141,-9562,25.4,29.3
2023-03-21,Silver,30589,30866,-363,-4785,25.7,25.9
2023-03-28,Silver,31927,21646,1338,-9220,27.2,18.4
2023-04-04,Silver,38599,20154,6672,-1492,29.4,15.4
2023-04-11,Silver,42763,24973,4164,4819,30,17.5
2023-04-18,Silver,49059,29246,6296,4273,31,18.5
2023-04-25,Silver,53377,29305,4318,59,35.7,19.6
2023-05-02,Silver,54975,29361,1598,56,38.6,20.6
2023-05-09,Silver,56217,30828,1242,1467,38.7,21.2
2023-05-16,Silver,45137,32397,-11080,1569,32.2,23.1
2023-05-23,Silver,43270,30590,-1867,-1807,31.9,22.5
2023-05-30,Silver,39203,29929,-4067,-661,29.3,22.4
2023-06-06,Silver,37526,27531,-1677,-2398,27.2,20
2023-06-13,Silver,38968,25971,1442,-1560,25.3,16.9
2023-06-20,Silver,37289,27033,-1679,1062,24.4,17.7
