date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2021-01-19,USD DXY,10293,15947,-52,1923,28.5,44.2
2021-01-26,USD DXY,10005,16550,-288,603,26.9,44.6
2021-02-02,USD DXY,10190,16863,185,313,27.6,45.7
2021-02-09,USD DXY,9535,17603,-655,740,26.3,48.6
2021-02-16,USD DXY,10274,17161,739,-442,28.6,47.7
2021-02-23,USD DXY,11184,18919,910,1758,27,45.7
2021-03-02,USD DXY,9816,21001,-1368,2082,26.1,55.9
2021-03-09,USD DXY,11591,28092,1775,7091,28.1,68
2021-03-16,USD DXY,12506,17494,915,-10598,35.4,49.5
2021-03-23,USD DXY,14122,19529,1616,2035,38.4,53.2
2021-03-30,USD DXY,15261,22558,1139,3029,37.9,56
2021-04-06,USD DXY,12170,20859,-3091,-1699,31.1,53.3
2021-04-13,USD DXY,8852,18606,-3318,-2253,22.6,47.5
2021-04-20,USD DXY,8025,16006,-827,-2600,21.8,43.5
2021-04-27,USD DXY,11109,14976,3084,-1030,30.4,40.9
2021-05-04,USD DXY,8003,13384,-3106,-1592,23.4,39.2
2021-05-11,USD DXY,14888,17279,6885,3895,35.6,41.3
2021-05-18,USD DXY,12719,16589,-2169,-690,29.6,38.6
2021-05-25,USD DXY,14247,16189,1528,-400,33.1,37.6
2021-06-01,USD DXY,19962,18315,5715,2126,41.5,38.1
2021-06-08,USD DXY,19680,19205,-282,890,39.7,38.7
2021-06-15,USD DXY,9495,17294,-10185,-1911,25.4,46.2
2021-06-22,USD DXY,8955,20144,-540,2850,25.9,58.2
2021-06-29,USD DXY,8425,21743,-530,1599,24.1,62.3
2021-07-06,USD DXY,10158,16075,1733,-5668,27.3,43.2
2021-07-13,USD DXY,11238,14131,1080,-1944,29.7,37.3
2021-07-20,USD DXY,13306,16028,2068,1897,34.2,41.2
2021-07-27,USD DXY,13649,15071,343,-957,31.7,35
2021-08-03,USD DXY,15843,13844,2194,-1227,36.7,32.1
2021-08-10,USD DXY,18737,14524,2894,680,41.5,32.2
2021-08-17,USD DXY,17096,14519,-1641,-5,36.7,31.2
2021-08-24,USD DXY,15884,17917,-1212,3398,32.7,36.9
2021-08-31,USD DXY,15092,18060,-792,143,30.9,37
2021-09-07,USD DXY,15815,13403,723,-4657,34.1,28.9
2021-09-14,USD DXY,17425,11244,1610,-2159,39.3,25.3
2021-09-21,USD DXY,19537,12964,2112,1720,42.5,28.2
2021-09-28,USD DXY,22359,19728,2822,6764,40.4,35.7
2021-10-05,USD DXY,20533,13937,-1826,-5791,35.9,24.4
2021-10-12,USD DXY,23391,15556,2858,1619,37.2,24.8
2021-10-19,USD DXY,21886,13051,-1505,-2505,36,21.5
2021-10-26,USD DXY,20531,11478,-1355,-1573,34.8,19.5
2021-11-02,USD DXY,20895,10806,364,-672,36.1,18.6
2021-11-09,USD DXY,21974,10955,1079,149,38.1,19
2021-11-16,USD DXY,22766,11352,792,397,38.3,19.1
2021-11-23,USD DXY,21177,10546,-1589,-806,36.7,18.3
2021-11-30,USD DXY,17091,5251,-4086,-5295,32.8,10.1
2021-12-07,USD DXY,15931,7037,-1160,1786,26.6,11.7
2021-12-14,USD DXY,15292,13423,-639,6386,29.4,25.8
2021-12-21,USD DXY,16874,13318,1582,-105,30,23.7
2021-12-28,USD DXY,16623,12614,-251,-704,28.7,21.8
2022-02-08,USD DXY,12146,5722,-860,-2846,22.7,10.7
2022-02-15,USD DXY,12566,6214,420,492,23.1,11.4
2022-02-22,USD DXY,13601,6547,1035,333,24.8,11.9
2022-03-01,USD DXY,18347,7477,4746,930,32.4,13.2
2022-03-08,USD DXY,17657,10486,-690,3009,28.3,16.8
2022-03-15,USD DXY,10942,15567,-6715,5081,23,32.7
2022-03-22,USD DXY,9905,19397,-1037,3830,19.1,37.3
2022-03-29,USD DXY,11108,20852,1203,1455,20.6,38.6
2022-04-05,USD DXY,13876,15872,2768,-4980,28.3,32.4
2022-04-12,USD DXY,15176,21700,1300,5828,27.7,39.6
2022-04-19,USD DXY,16136,21995,960,295,29.6,40.3
2022-04-26,USD DXY,16679,23727,543,1732,29.4,41.8
